iter	Passed	Remaining
433	1613	2104
434	1618	2102
435	1621	2097
436	1628	2097
437	1632	2095
438	1636	2090
439	1642	2090
440	1647	2088
441	1650	2083
442	1653	2078
443	1658	2077
444	1662	2073
445	1665	2068
446	1668	2063
447	1673	2061
448	1677	2057
449	1679	2052
450	1682	2047
451	1684	2042
452	1690	2040
453	1693	2036
454	1696	2032
455	1699	2027
456	1706	2027
457	1710	2024
458	1713	2019
459	1716	2014
460	1722	2014
461	1726	2010
462	1729	2006
463	1734	2003
464	1739	2001
465	1742	1997
466	1745	1992
467	1748	1988
468	1753	1985
469	1757	1981
470	1760	1976
471	1762	1972
472	1767	1969
473	1772	1966
474	1776	1963
475	1779	1958
476	1786	1958
477	1790	1955
478	1793	1951
479	1803	1953
480	1807	1950
481	1810	1945
482	1815	1943
483	1820	1941
484	1824	1937
485	1830	1935
486	1836	1934
487	1839	1930
488	1844	1927
489	1850	1925
490	1853	1921
491	1857	1917
492	1862	1915
493	1867	1913
494	1872	1909
495	1880	1911
496	1885	1908
497	1889	1904
498	1893	1900
499	1898	1898
500	1900	1893
501	1903	1888
502	1911	1888
503	1914	1884
504	1917	1879
505	1919	1874
506	1926	1873
507	1930	1869
508	1932	1864
509	1935	1859
510	1940	1856
511	1944	1853
512	1947	1848
513	1949	1843
514	1953	1839
515	1957	1836
516	1961	1832
517	1964	1827
518	1967	1823
519	1971	1819
520	1975	1816
521	1977	1811
522	1980	1806
523	1983	1802
524	1989	1799
525	1992	1795
526	1995	1790
527	1997	1785
528	2006	1786
529	2022	1793
530	2026	1789
531	2029	1785
532	2033	1781
533	2037	1778
534	2041	1774
535	2044	1769
536	2048	1765
537	2052	1762
538	2056	1758
539	2059	1754
540	2061	1749
541	2065	1745
542	2069	1741
543	2072	1736
544	2074	1731
545	2079	1729
546	2086	1727
547	2091	1724
548	2093	1720
549	2098	1716
550	2101	1712
551	2106	1709
552	2109	1705
553	2117	1704
554	2121	1701
555	2124	1696
556	2133	1696
557	2138	1693
558	2142	1690
559	2149	1689
560	2153	1685
561	2156	1680
562	2161	1677
563	2165	1674
564	2168	1669
565	2171	1665
566	2175	1661
567	2180	1658
568	2183	1654
569	2186	1649
570	2190	1646
571	2197	1644
572	2200	1639
573	2202	1634
574	2207	1631
575	2210	1627
576	2214	1623
577	2217	1618
578	2221	1615
579	2228	1613
580	2231	1609
581	2234	1604
582	2241	1603
583	2246	1600
584	2252	1597
585	2259	1596
586	2263	1592
587	2265	1587
588	2277	1589
589	2281	1585
590	2294	1587
591	2299	1585
592	2304	1581
593	2309	1578
594	2312	1573
595	2317	1571
596	2322	1567
597	2327	1564
598	2333	1562
599	2341	1561
600	2348	1558
601	2354	1556
602	2358	1552
603	2362	1548
604	2366	1545
605	2371	1542
606	2375	1538
607	2382	1535
608	2387	1532
609	2389	1528
610	2393	1523
611	2397	1520
612	2403	1517
613	2406	1513
614	2410	1509
615	2417	1507
616	2421	1503
617	2424	1498
618	2429	1495
619	2435	1492
620	2439	1488
621	2442	1484
622	2448	1481
623	2451	1477
624	2455	1473
625	2459	1469
626	2464	1465
627	2467	1461
628	2470	1457
629	2474	1453
630	2480	1450
631	2484	1446
632	2487	1442
633	2492	1439
634	2498	1436
635	2502	1431
636	2506	1428
637	2511	1425
638	2515	1420
639	2518	1416
640	2522	1412
641	2528	1409
642	2532	1405
643	2534	1401
644	2540	1398
645	2544	1394
646	2547	1390
647	2551	1385
648	2557	1382
649	2561	1379
650	2564	1375
651	2567	1370
652	2574	1367
653	2577	1363
654	2580	1359
655	2583	1354
656	2592	1353
657	2606	1354
658	2610	1350
659	2613	1346
660	2617	1342
661	2621	1338
662	2624	1334
663	2627	1329
664	2630	1324
665	2633	1320
666	2637	1316
667	2640	1312
668	2643	1307
669	2646	1303
670	2651	1299
671	2658	1297
672	2661	1292
673	2663	1288
674	2668	1284
675	2671	1280
676	2674	1275
677	2676	1271
678	2679	1266
679	2684	1263
680	2688	1259
681	2691	1254
682	2693	1250
683	2698	1246
684	2702	1242
685	2704	1238
686	2708	1233
687	2713	1230
688	2718	1227
689	2721	1222
690	2723	1218
691	2727	1213
692	2731	1210
693	2735	1206
694	2738	1201
695	2743	1198
696	2747	1194
697	2751	1190
698	2753	1185
699	2756	1181
700	2760	1177
701	2764	1173
702	2767	1169
703	2770	1164
704	2772	1160
705	2776	1156
706	2781	1152
707	2784	1148
708	2787	1144
709	2791	1140
710	2795	1136
711	2798	1131
712	2801	1127
713	2804	1123
714	2808	1119
715	2812	1115
716	2815	1111
717	2817	1106
718	2821	1102
719	2825	1098
720	2829	1094
721	2832	1090
722	2835	1086
723	2840	1082
724	2844	1079
725	2847	1074
726	2851	1070
727	2856	1067
728	2861	1063
729	2864	1059
730	2867	1055
731	2872	1051
732	2876	1047
733	2879	1043
734	2882	1039
735	2887	1035
736	2893	1032
737	2907	1032
738	2914	1029
739	2934	1030
740	2941	1028
741	2944	1023
742	2947	1019
743	2951	1015
744	2954	1011
745	2958	1007
746	2961	1002
747	2966	999
748	2971	995
749	2974	991
750	3044	1009
751	3067	1011
752	3072	1007
753	3080	1005
754	3086	1001
755	3094	998
756	3099	994
757	3102	990
758	3108	986
759	3115	983
760	3123	980
761	3129	977
762	3132	973
763	3136	968
764	3139	964
765	3142	959
766	3145	955
767	3147	950
768	3150	946
769	3152	941
770	3155	937
771	3158	932
772	3164	929
773	3166	924
774	3170	920
775	3173	916
776	3176	911
777	3178	907
778	3181	902
779	3183	898
780	3187	893
781	3190	889
782	3192	884
783	3195	880
784	3197	875
785	3199	871
786	3203	866
787	3206	862
788	3209	858
789	3211	853
790	3214	849
791	3217	845
792	3220	840
793	3223	836
794	3226	831
795	3228	827
796	3231	823
797	3235	818
798	3238	814
799	3241	810
800	3244	806
801	3247	801
802	3250	797
803	3254	793
804	3256	788
805	3258	784
806	3261	779
807	3264	775
808	3267	771
809	3270	767
810	3273	762
811	3275	758
812	3277	753
813	3281	749
814	3284	745
815	3286	741
816	3289	736
817	3291	732
818	3293	727
819	3297	723
820	3300	719
821	3303	715
822	3305	710
823	3307	706
824	3310	702
825	3313	698
826	3316	693
827	3318	689
828	3321	685
829	3323	680
830	3327	676
831	3330	672
832	3333	668
833	3335	663
834	3338	659
835	3340	655
836	3343	651
837	3346	647
838	3349	642
839	3352	638
840	3354	634
841	3358	630
842	3361	626
843	3368	622
844	3372	618
845	3376	614
846	3379	610
847	3382	606
848	3384	602
849	3387	597
850	3390	593
851	3394	589
852	3398	585
853	3400	581
854	3402	577
855	3405	572
856	3409	568
857	3412	564
858	3415	560
859	3417	556
860	3422	552
861	3426	548
862	3430	544
863	3433	540
864	3437	536
865	3442	532
866	3446	528
867	3449	524
868	3456	521
869	3461	517
870	3463	513
871	3466	508
872	3476	505
873	3496	504
874	3551	507
875	3580	506
876	3588	503
877	3604	500
878	3626	499
879	3637	496
880	3683	497
881	3693	494
882	3716	492
883	3737	490
884	3749	487
885	3760	483
886	3781	481
887	3802	479
888	3845	480
889	3879	479
890	3902	477
891	3963	479
892	3971	475
893	3987	472
894	3996	468
895	4003	464
896	4011	460
897	4018	456
898	4022	451
899	4035	448
900	4043	444
901	4067	441
902	4099	440
